epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.53132,1.51869,2.1791,3.01258,0.06512,0.23171,0.04119,0.02516,1.30225,4.6599,1.71178,0.00062,0.00062,0.00062
2,19.4342,1.35472,1.4724,2.90962,0.17105,0.13089,0.06229,0.03418,1.57001,4.54233,2.11145,0.00124753,0.00124753,0.00124753
3,28.5113,1.52446,1.41536,3.05459,0.20979,0.28049,0.15955,0.08114,1.72079,4.51399,2.3828,0.00186238,0.00186238,0.00186238
4,37.3734,1.55192,1.30473,2.98342,0.1252,0.57317,0.12278,0.05491,1.9197,4.463,2.49462,0.0019406,0.0019406,0.0019406
5,46.2313,1.52095,1.26275,2.94143,0.31367,0.28049,0.19428,0.09358,1.88778,3.69196,2.37799,0.0019208,0.0019208,0.0019208
6,55.3196,1.57784,1.20834,3.0941,0.43917,0.41463,0.33581,0.16962,1.80604,2.71658,2.34374,0.001901,0.001901,0.001901
7,64.3069,1.47042,1.1853,2.88252,0.37231,0.45122,0.36558,0.19194,1.71997,2.4119,2.21421,0.0018812,0.0018812,0.0018812
8,73.6166,1.52272,1.13281,2.84963,0.52603,0.42683,0.3721,0.18547,1.6937,2.1243,2.18203,0.0018614,0.0018614,0.0018614
9,86.088,1.47039,1.08714,2.82151,0.36385,0.46341,0.3732,0.21839,1.51883,2.00104,2.04552,0.0018416,0.0018416,0.0018416
10,94.6705,1.35895,0.98572,2.7945,0.63367,0.65854,0.64025,0.35667,1.5975,1.62771,2.07303,0.0018218,0.0018218,0.0018218
11,103.793,1.47513,1.09347,3.061,0.46598,0.35366,0.34822,0.19259,1.86238,2.63924,2.33714,0.001802,0.001802,0.001802
12,112.912,1.41158,1.01141,2.79111,0.3219,0.41463,0.29819,0.16183,1.75035,2.88714,2.38634,0.0017822,0.0017822,0.0017822
